================================================================================
OP CHOUDHARY TWEETS - DATABASE EXPORT
================================================================================

Generated: Sun Nov 9 01:49:12 IST 2025

 tweet_num |           id            |           date            |          author          |         event         |    confidence    |                                                                                                                                         text                                                                                                                                          | separator 
 Tweet #40 | ID: 1984556323196059845 | Date: 2025-11-01 09:41:13 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: आज नवा रायपुर (अटल नगर) में देश के यशस्वी प्रधानमंत्री श्री नरेंद्र मोदी जी ने नवनिर्मित विधानसभा भवन का लोकार्पण और भारत रत्न, पूर्व प्रधानमंत्री श्रद्धेय अटल बिहारी वाजपेयी जी की भव्य प्रतिमा का अनावरण किया।                                                                                          +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | यह ऐतिहासिक अवसर छत्तीसगढ़ की विकास यात्रा और लोकतांत्रिक गौरव का https://t.co/TqutJzuZCa                                                                                                                                                                                                  | 
 Tweet #41 | ID: 1984544696136581348 | Date: 2025-11-01 08:55:01 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: आज नवा रायपुर, अटल नगर में ब्रह्मा कुमारीज़ के 'शांति शिखर' के उद्घाटन समारोह में देश के यशस्वी प्रधानमंत्री श्री नरेंद्र मोदी जी का भव्य स्वागत, अभिनंदन एवं सम्मान किया गया।                                                                                                                             +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | @narendramodi  @AmitShah @JPNadda @BJP4India @ombirlakota @blsanthosh @vishnudsai @drramansingh https://t.co/odQwueI0zR                                                                                                                                                               | 
 Tweet #42 | ID: 1984539774850646292 | Date: 2025-11-01 08:35:27 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: ‘राज्य के विकास से देश का विकास’, इसी मंत्र पर चलते हुए हम भारत को विकसित बनाने के अभियान में जुटे हैं।                                                                                                                                                                                        +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | -यशस्वी प्रधानमंत्री श्री नरेंद्र मोदी जी                                                                                                                                                                                                                                                    +| 
           |                         |                           |                          |                       |                  | @narendramodi                                                                                                                                                                                                                                                                        +| 
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | #RajatMahotsavWithModiJi https://t.co/xM3eZlnVXQ                                                                                                                                                                                                                                      | 
 Tweet #43 | ID: 1984525247803244616 | Date: 2025-11-01 07:37:44 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: "दिल की बात" बच्चों के साथ...                                                                                                                                                                                                                                                     +| ---
           |                         |                           |                          |                       |                  | नवा रायपुर अटल नगर स्थित श्री सत्य साईं संजीवनी अस्पताल में 'गिफ्ट ऑफ लाइफ' समारोह के दौरान जन्मजात हृदय रोगों से जंग जीत चुके 2500 बच्चों से प्रधानमंत्री जी ने आत्मीय संवाद किया। उस क्षण हर मासूम मुस्कान में जीवन की नई ऊर्जा, आशा की नई किरण और https://t.co/TT0tHUjd9f                                            | 
 Tweet #44 | ID: 1984513815221060030 | Date: 2025-11-01 06:52:18 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी के नेतृत्व पर छत्तीसगढ़वासियों को हैं अटल विश्वास...                                                                                                                                                                                                   +| ---
           |                         |                           |                          |                       |                  | मोदी की गारंटी पर यही भरोसा है, जो आज हर छत्तीसगढ़िया को पूरी दृढ़ता और गर्व के साथ भाजपा के साथ खड़ा करता है। जनकल्याण, विकास और सम्मान के 25 वर्षो की इस गौरवयात्रा में प्रदेश नई https://t.co/PtJ7wmrOiS                                                                                                | 
 Tweet #45 | ID: 1984491524525273125 | Date: 2025-11-01 05:23:44 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: छत्तीसगढ़ रजत जयंती के पावन अवसर म संस्कृति अऊ परंपरा के गौरवशाली धरती म पधारे विश्व के सबले लोकप्रिय नेता, भारत के यशस्वी प्रधानमंत्री श्री नरेन्द्र मोदी जी के रायपुर हवाई अड्डा म हार्दिक स्वागत करे गिस।                                                                                                 +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | @narendramodi https://t.co/ysa1KvgApN                                                                                                                                                                                                                                                 | 
 Tweet #46 | ID: 1984472241233674276 | Date: 2025-11-01 04:07:06 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: 25 वर्षो की सफलतम यात्रा का गौरवशाली उत्सव...                                                                                                                                                                                                                                     +| ---
           |                         |                           |                          |                       |                  | छत्तीसगढ़ राज्य स्थापना के 25 वर्ष पूर्ण होने पर समस्त प्रदेशवासियों को हार्दिक बधाई और शुभकामनायें। आइए, इस ऐतिहासिक अवसर हम सभी एकजुट होकर आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी के यशस्वी नेतृत्व में छत्तीसगढ़ को अमृतकाल में https://t.co/kze9cnr42b                                                               | 
 Tweet #47 | ID: 1984467375216120166 | Date: 2025-11-01 03:47:46 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: विश्व के सबसे लोकप्रिय और दूरदर्शी नेता, हमारे आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी का छत्तीसगढ़ की पावन धरा पर हार्दिक स्वागत एवं अभिनंदन।                                                                                                                                                     +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | आज नवा रायपुर में आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी मोदी जी छत्तीसगढ़ राज्योत्सव का शुभारंभ करेंगे। इस ऐतिहासिक अवसर का साक्षी https://t.co/h0ilgwVqX0                                                                                                                                                | 
 Tweet #48 | ID: 1984461044706890003 | Date: 2025-11-01 03:22:37 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: छत्तीसगढ़ स्थापना दिवस के रजत जयंती साल म रायपुर हवाई अड्डा म देश के यशस्वी प्रधानमंत्री श्री नरेन्द्र मोदी जी के स्वागत बर हम सब आतुर हन…                                                                                                                                                         +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | @narendramodi                                                                                                                                                                                                                                                                        +| 
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | #RajatJayanti https://t.co/3Ae9bIwuLe                                                                                                                                                                                                                                                 | 
 Tweet #49 | ID: 1984459459889185179 | Date: 2025-11-01 03:16:19 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: छत्तीसगढ़ स्थापना के 25वें गौरवशाली वर्ष के अवसर पर छत्तीसगढ़ की पावन धरा पर यशस्वी प्रधानमंत्री श्री नरेंद्र मोदी जी का हार्दिक स्वागत, वंदन एवं अभिनंदन।                                                                                                                                            +| ---
           |                         |                           |                          |                       |                  |                                                                                                                                                                                                                                                                                      +| 
           |                         |                           |                          |                       |                  | आपके मार्गदर्शन में छत्तीसगढ़ विकास, समृद्धि और आत्मनिर्भरता की नई ऊंचाईयों को स्पर्श कर रहा है। जन-जन में नव आशा और ऊर्जा https://t.co/zFpZa7DlTG                                                                                                                                                       | 
 Tweet #50 | ID: 1984450887431909725 | Date: 2025-11-01 02:42:15 | Author: @OPChoudhary_Ind | Event: N/A            | Confidence: N/A  | Text: रजत जयंती वर्ष छत्तीसगढ़ की गौरवशाली यात्रा का प्रतीक...                                                                                                                                                                                                                             +| ---
           |                         |                           |                          |                       |                  | छत्तीसगढ़ स्थापना के रजत जयंती वर्ष पर सभी प्रदेशवासियों को हार्दिक शुभकामनायें। 25 वर्षों में प्रदेश ने विकास, संस्कृति और समृद्धि की नई ऊंचाइयां हासिल की हैं। यह हमें अपने माटी, परंपरा और मेहनतकश जनों के प्रति गर्व से भर https://t.co/38nb8gtpTt                                                                       | 
(50 rows)

================================================================================
END OF EXPORT
================================================================================
